Class,X,amwi,bago,buff,bwte,cago,gwte,mall,nsho,rndu,scau,cavity,dabbler,divers,sp_tot,sp_div,avg_rank_all,avg_rank_sp_only
topo,aspect,18,14,18,16,14,12,18,20,17,13,15,18,16,17,17,16.2,16
topo,slope,7,17,9,9,11,4,7,10,11,16,16,11,12,14,11,11.0,10.1
mgmt,alr,11,8,16,11,9,13,16,5,14,10,11,12,11,11,14,11.5,11.3
mgmt,pa,13,7,15,17,21,14,20,17,6,9,7,17,9,16,13,13.4,13.9
cover,cec_urban,9,15,20,15,10,17,9,6,22,11,19,6,18,10,15,13.5,13.4
cover,cec_mixed_forest,15,19,14,13,19,11,19,13,16,20,17,19,19,20,20,16.9,15.9
cover,cec_broadleaf,3,20,19,12,1,18,15,9,20,22,20,15,20,18,19,15.4,13.9
cover,cec_needleleaf,1,3,8,2,5,6,4,1,13,2,5,2,4,2,3,4.1,4.5
hydro,fwa_1,12,12,6,7,16,5,5,11,12,18,10,13,13,15,12,11.1,10.4
hydro,fwa_2,16,16,7,18,18,15,13,14,9,5,13,14,8,12,7,12.3,13.1
hydro,fwa_3,21,10,3,3,15,2,6,18,5,12,8,9,6,5,5,8.5,9.5
hydro,fwa_4,14,18,5,10,17,7,14,15,7,3,18,10,5,7,9,10.6,11
hydro,fwa_10ha_more,19,1,12,19,12,20,21,19,10,6,1,21,7,13,16,13.1,13.9
hydro,str_s,6,6,2,5,2,3,2,3,3,4,4,3,2,3,2,3.3,3.6
hydro,str_m,10,21,21,21,20,21,10,21,18,19,21,16,21,21,21,18.8,18.2
hydro,fwa_r,23,23,23,24,23,24,23,23,24,23,24,23,23,23,23,23.3,23.3
hydro,fwa_w,2,11,11,4,4,9,3,4,8,15,9,4,14,6,6,7.3,7.1
cover,dra_u,17,2,17,14,13,19,17,16,19,17,2,20,17,19,18,15.1,15.1
clim,norm_dd5,5,9,10,6,6,10,8,7,4,14,12,8,10,9,8,8.4,7.9
clim,norm_cmd,4,13,13,8,8,8,11,2,15,8,14,5,15,8,10,9.5,9
clim,pas_wt,24,22,22,20,24,23,24,24,23,24,22,24,24,24,24,23.2,23
clim,tave04,22,24,24,22,22,22,22,22,21,21,23,22,22,22,22,22.2,22.2
hydro,shorecx_10plus_100000,20,4,4,23,3,16,12,12,2,7,6,7,3,4,4,8.5,10.3
hydro,shorecx_10less_100000,8,5,1,1,7,1,1,8,1,1,3,1,1,1,1,2.7,3.4
